date,epiweek,horizon,lower_95,pred,upper_95
2020-10-24,2020-09-24,4,186177.67554222365,387225.942619165,835556.5323418439
2020-10-24,2020-09-27,4,164596.0125,313374.1517320015,451391.65
2020-10-24,2020-09-28,4,161480.0,296441.0,363908.55025
2020-10-24,2020-10-01,3,48096.7335044815,169325.276644395,426255.022937716
2020-10-24,2020-10-04,3,199834.0,309372.9805,426224.3335
2020-10-24,2020-10-05,3,191593.0,271702.5305,383522.0
2020-10-24,2020-10-08,2,144357.73175858054,306309.2231675855,618225.256911868
2020-10-24,2020-10-11,2,259133.5,343117.02491106454,388847.85475
2020-10-24,2020-10-12,2,245216.432298083,322032.0219928615,397167.4509266075
2020-10-24,2020-10-15,1,225212.7931517475,380671.45783826,588790.6823596095
2020-10-24,2020-10-18,1,312942.5,393269.2095,438453.78599999996
2020-10-24,2020-10-19,1,312392.0,388452.0,431218.64
2020-10-31,2020-10-01,4,33857.0984699079,135206.112783345,411846.848180651
2020-10-31,2020-10-04,4,191078.5,314200.2545,449515.25800000003
2020-10-31,2020-10-05,4,162690.0,261929.457,379533.196825
2020-10-31,2020-10-08,3,126189.37620581825,292756.7622574055,665210.855705197
2020-10-31,2020-10-11,3,244068.323,357640.7551268315,405147.07054999995
2020-10-31,2020-10-12,3,223732.0,316357.5082396625,411011.0
2020-10-31,2020-10-15,2,186001.972974064,374813.550040405,730173.0902113426
2020-10-31,2020-10-18,2,277755.0,412143.92,469594.115
2020-10-31,2020-10-19,2,278769.0,388838.0,474807.0
2020-10-31,2020-10-22,1,243771.84678515448,412598.167345291,640042.612517976
2020-10-31,2020-10-25,1,384753.364,473008.514038848,543888.225
2020-10-31,2020-10-26,1,388545.0,472736.0,544569.0
2020-11-07,2020-10-08,4,115751.97115863625,276337.979222923,684483.9256167065
2020-11-07,2020-10-11,4,235867.495,371707.01222267153,428778.8235
2020-11-07,2020-10-12,4,198204.9810612005,308397.644509033,421381.0
2020-11-07,2020-10-15,3,162646.0862072644,361622.38332309003,781441.0614948794
2020-11-07,2020-10-18,3,256571.2831720085,431422.05057598103,510131.741
2020-11-07,2020-10-19,3,259011.0,392010.0,482665.0
2020-11-07,2020-10-22,2,196134.1040923655,400262.919007049,777517.9248582534
2020-11-07,2020-10-25,2,334851.972897442,544358.0,600424.0
2020-11-07,2020-10-26,2,364448.88858897646,508185.0,599213.0
2020-11-07,2020-10-29,1,417694.1,603362.5,791791.15
2020-11-07,2020-11-01,1,500443.835120886,567623.5759846279,689252.711127914
2020-11-07,2020-11-02,1,493193.0,569376.2774701185,703080.0
2020-11-14,2020-10-15,4,148672.2614225006,342992.408990312,794002.9196673459
2020-11-14,2020-10-18,4,241874.0,433357.20382946753,552151.8
2020-11-14,2020-10-19,4,240265.0,388452.0,498092.0
2020-11-14,2020-10-22,3,172205.35232905345,381542.7629909565,830508.6804311441
2020-11-14,2020-10-25,3,337275.25213382,591938.0,696500.0
2020-11-14,2020-10-26,3,335607.0,521623.0,645527.515
2020-11-14,2020-10-29,2,388420.775,686434.0,1059056.9375
2020-11-14,2020-11-01,2,455980.29500000004,612233.6515101756,814584.3537786055
2020-11-14,2020-11-02,2,481905.1013202255,614012.0,776257.8351030524
2020-11-14,2020-11-04,1,543908.425,788888.0,898171.9
2020-11-14,2020-11-05,1,527379.8875,747490.75,952287.4125
2020-11-14,2020-11-08,1,664028.866307182,811155.29638,1017648.5
2020-11-14,2020-11-09,1,638397.389,790658.0,941401.507611022
2020-11-21,2020-10-22,4,158206.61602748669,360124.7112779115,854085.7467403065
2020-11-21,2020-10-25,4,312209.0,605424.0,807941.0
2020-11-21,2020-10-26,4,313441.0,530635.0,700383.5232115915
2020-11-21,2020-10-29,3,361249.7125,710052.25,1246157.275
2020-11-21,2020-11-01,3,438260.071,666098.5074558,892355.123431933
2020-11-21,2020-11-02,3,475233.4958113285,665094.0,861399.7910109235
2020-11-21,2020-11-04,2,561418.6,936129.5,1159342.875
2020-11-21,2020-11-05,2,520127.975,870567.75,1261122.05
2020-11-21,2020-11-08,2,603849.0,963783.5590949999,1242464.817995
2020-11-21,2020-11-09,2,606821.0,919547.0,1206825.0
2020-11-21,2020-11-12,1,809958.0,1065230.0,1385626.0
2020-11-21,2020-11-15,1,852293.5,1126994.048051495,1360582.202273075
2020-11-21,2020-11-16,1,946528.0687816446,1168964.1436403,1360583.0
2020-11-28,2020-10-29,4,338995.375,715177.0,1388236.1
2020-11-28,2020-11-01,4,434233.46771500004,693444.0948078135,958419.706618607
2020-11-28,2020-11-02,4,453440.3,703186.0,959856.0
2020-11-28,2020-11-04,3,525844.225,1026392.5,1470632.7
2020-11-28,2020-11-05,3,491688.725,941025.0,1505626.975
2020-11-28,2020-11-08,3,614879.0,1036526.04462,1464193.1
2020-11-28,2020-11-09,3,624067.0,1008623.0,1451995.0
2020-11-28,2020-11-12,2,817228.0,1216854.0,1744730.0
2020-11-28,2020-11-15,2,827941.19298,1288222.9977026898,1844206.4361649998
2020-11-28,2020-11-16,2,927396.7,1357140.92514324,1786545.0
2020-11-28,2020-11-19,1,1057684.0125,1424769.0,1768088.5125
2020-11-28,2020-11-22,1,1031855.55449612,1273268.76,1588690.41904252
2020-11-28,2020-11-23,1,997585.0,1292124.0,1588691.0
2020-12-05,2020-11-04,4,467009.8,1061270.0,1805657.825
2020-12-05,2020-11-05,4,456169.0125,962231.5,1715473.05
2020-12-05,2020-11-08,4,611659.0,1107084.4699533,1858488.2
2020-12-05,2020-11-09,4,634267.0,1091137.0,1675995.0
2020-12-05,2020-11-12,3,760651.975,1231383.0,1811881.0
2020-12-05,2020-11-15,3,870333.0,1324394.66441958,2190233.7
2020-12-05,2020-11-16,3,876468.5,1411381.5032413201,2155766.0
2020-12-05,2020-11-19,2,991032.6375,1672809.25,2334655.6875
2020-12-05,2020-11-22,2,1052057.500074975,1375389.29,1990239.4172363
2020-12-05,2020-11-23,2,1030239.0,1434073.0,1967614.95021176
2020-12-05,2020-11-26,1,1006016.75,1240722.0,1518559.875
2020-12-05,2020-11-29,1,850277.134650337,1140043.0,1361904.03549569
2020-12-05,2020-11-30,1,918189.4125,1153335.75,1440023.19
2020-12-12,2020-11-12,4,694400.9,1139533.0,1650636.0
2020-12-12,2020-11-15,4,856991.0,1438394.08278457,2232133.46987979
2020-12-12,2020-11-16,4,803335.3625,1477188.4534779051,2281152.5949999997
2020-12-12,2020-11-19,3,921504.3875,1763072.0,2899734.9875
2020-12-12,2020-11-22,3,1106522.39889,1487445.0,2426856.71288693
2020-12-12,2020-11-23,3,1117658.0,1596827.0,2250127.0
2020-12-12,2020-11-26,2,942303.725,1256375.0,1655514.025
2020-12-12,2020-11-29,2,775508.825,1091114.0,1543191.0
2020-12-12,2020-11-30,2,835173.3125,1163266.0,1576694.0
2020-12-12,2020-12-03,1,805021.2,1089549.25,1472516.3625
2020-12-12,2020-12-06,1,1207524.6136574,1373579.0,1655512.0
2020-12-12,2020-12-07,1,1148152.0,1432372.75,1757416.68306711
2020-12-19,2020-11-19,4,847906.3625,1682388.5,3147908.175
2020-12-19,2020-11-22,4,1116840.89252,1573932.0,2539295.44356
2020-12-19,2020-11-23,4,1125973.0,1701000.0,2494000.0
2020-12-19,2020-11-26,3,837099.175,1247331.0,1834098.175
2020-12-19,2020-11-29,3,760044.9875,1124143.5,1635630.355471795
2020-12-19,2020-11-30,3,759747.0,1176441.0,1665184.9840000002
2020-12-19,2020-12-03,2,716558.5375,1099867.75,1658844.7875
2020-12-19,2020-12-06,2,1071915.0,1477683.58,2004678.6
2020-12-19,2020-12-07,2,1098529.0,1559418.22073079,2004679.0
2020-12-19,2020-12-10,1,1235698.1,1648943.25,2130353.85
2020-12-19,2020-12-13,1,1237839.0,1505026.84564857,1655573.4921038
2020-12-19,2020-12-14,1,1291201.0,1608046.444450035,1853391.018661875
2020-12-26,2020-11-26,4,733819.775,1234095.5,2062724.275
2020-12-26,2020-11-29,4,764629.275,1154718.0,1578637.98877043
2020-12-26,2020-11-30,4,682222.175,1150735.208,1768164.475
2020-12-26,2020-12-03,3,653800.65,1089413.0,1761145.5125
2020-12-26,2020-12-06,3,1041725.97277629,1532239.0,2292932.1407649
2020-12-26,2020-12-07,3,1048349.0,1615927.20653629,2253964.0
2020-12-26,2020-12-10,2,1188403.8375,1807792.25,2592645.8625
2020-12-26,2020-12-13,2,1246064.35151,1579947.0,1866850.02274313
2020-12-26,2020-12-14,2,1260664.0,1781860.07622058,2137039.958535745
2020-12-26,2020-12-17,1,1136277.2,1479230.75,1919196.5
2020-12-26,2020-12-20,1,1345040.6286895,1524541.0,1713915.0
2020-12-26,2020-12-21,1,1291496.78626796,1572187.09066677,1725179.6175000002
2021-01-02,2020-12-03,4,606072.9375,1056850.0,1802973.7625
2021-01-02,2020-12-06,4,979748.0,1599730.0,2330470.18914261
2021-01-02,2020-12-07,4,1006630.0,1599730.0,2320265.0
2021-01-02,2020-12-10,3,1106260.7,1803261.25,2824852.7375
2021-01-02,2020-12-13,3,1297047.59216,1619756.0,2154311.376007185
2021-01-02,2020-12-14,3,1297455.456091565,1879126.8573733899,2268145.0
2021-01-02,2020-12-17,2,1051242.1625,1530632.25,2139855.8625
2021-01-02,2020-12-20,2,1236733.73903108,1544245.0,1905106.26096892
2021-01-02,2020-12-21,2,1244181.0,1640064.0270744949,2005007.7982037
2021-01-02,2020-12-24,1,1037440.2875,1357766.25,1778550.075
2021-01-02,2020-12-27,1,1140764.328945955,1422253.5,1574088.6
2021-01-02,2020-12-28,1,1139677.6193415849,1418752.0,1713431.91140546
2021-01-09,2020-12-10,4,1004988.7375,1701425.0,2827352.2875
2021-01-09,2020-12-13,4,1210962.23219,1602301.5,2108649.9625061247
2021-01-09,2020-12-14,4,1265396.562497,2045256.16466744,2505126.8
2021-01-09,2020-12-17,3,975278.875,1553965.0,2253024.6
2021-01-09,2020-12-20,3,1133492.07261939,1533937.5,1959001.884207715
2021-01-09,2020-12-21,3,1239255.0,1706719.94491096,1919196.0
2021-01-09,2020-12-24,2,902007.95,1337475.5,2013453.6875
2021-01-09,2020-12-27,2,902550.7755948985,1381681.3538800501,1717995.5
2021-01-09,2020-12-28,2,1016658.249999995,1357539.0,1761593.0145
2021-01-09,2021-01-03,1,1262174.11427323,1411637.24380709,1684084.119338625
2021-01-09,2021-01-04,1,1192907.098,1423488.0,1781269.4314581351
2021-01-16,2020-12-17,4,885909.5125,1537375.0,2289383.2375
2021-01-16,2020-12-20,4,1085989.7138527916,1516327.0,1903804.944624745
2021-01-16,2020-12-21,4,1214488.0,1682465.7489429,1950133.0
2021-01-16,2020-12-24,3,799646.65,1319243.5,2277913.9125
2021-01-16,2020-12-27,3,841049.2179457089,1343324.0,1821885.0
2021-01-16,2020-12-28,3,874162.655995179,1341243.6230000001,1829870.0
2021-01-16,2021-01-03,2,1131510.0,1431991.01050573,1809220.23693211
2021-01-16,2021-01-04,2,1098772.0,1434943.0,1857196.00407556
2021-01-16,2021-01-06,1,819213.5,1261340.0,1860429.675
2021-01-16,2021-01-10,1,1543513.0,1633646.0796750002,1874168.75
2021-01-16,2021-01-11,1,1424093.30268939,1700701.0,2020266.47439631
2021-01-23,2020-12-24,4,725680.7,1274972.0,2407292.3625
2021-01-23,2020-12-27,4,838556.468007947,1288594.0,1972014.0
2021-01-23,2020-12-28,4,804662.8894625176,1300585.0,1972014.0
2021-01-23,2021-01-03,3,1054443.49545,1410010.0,1860856.39492386
2021-01-23,2021-01-04,3,943393.9275,1409354.001543585,1887614.84602853
2021-01-23,2021-01-06,2,753950.175,1268033.0,2004487.375
2021-01-23,2021-01-10,2,1412646.7406257251,1642700.75,1955794.25
2021-01-23,2021-01-11,2,1374456.47114775,1711680.816,2097685.74040946
2021-01-23,2021-01-14,1,1069125.45,1617143.0,2306966.3
2021-01-23,2021-01-17,1,1295240.0699999998,1586411.70938,1833655.5
2021-01-23,2021-01-18,1,1232932.96018284,1590113.0,1888869.82162392
2021-01-30,2021-01-03,4,1006962.56612,1383662.0,1803650.70712
2021-01-30,2021-01-04,4,830588.319,1411458.37063295,1863649.3750724099
2021-01-30,2021-01-06,3,697336.85,1274423.0,2187933.05
2021-01-30,2021-01-10,3,1350827.0,1670553.0,2030611.4
2021-01-30,2021-01-11,3,1359264.0,1783610.35979128,2221206.0
2021-01-30,2021-01-14,2,1072388.825,1719494.5,2525838.4
2021-01-30,2021-01-17,2,1198870.00765,1567438.3392886,1915064.062625
2021-01-30,2021-01-18,2,1062378.218388475,1544051.339931,1985798.541219855
2021-01-30,2021-01-21,1,814525.05,1255258.5,1840187.575
2021-01-30,2021-01-24,1,1001467.2957649999,1199749.89548859,1399416.09682553
2021-01-30,2021-01-25,1,892469.7499999604,1226752.0,1444698.85914414
2021-02-06,2021-01-06,4,656589.275,1276370.0,2440865.775
2021-02-06,2021-01-10,4,1331363.0,1700132.0,2068590.7
2021-02-06,2021-01-11,4,1307118.0,1785780.13315358,2401056.24638242
