lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,date,epiweek
373532.924580824,380636.3662511295,388993.99588421633,403370.73955785466,419968.34302440216,437248.89251012483,453409.07831173646,463364.5777983741,472176.3398516661,2021-05-01,2021-04-11
357042.9134996205,364465.3292488684,373214.6046869806,388305.4661908739,405789.19503776997,424060.1411684977,441206.9322622239,451798.44993421296,461190.6988866097,2021-05-08,2021-04-11
467322.9171727498,467864.88709665195,468490.5238359649,469537.8028747255,470704.15176240844,471873.3979029206,472928.2391290059,473560.64666720293,474109.8506933827,2021-04-24,2021-04-18
462784.7430622126,463677.568321148,464709.0766410461,466437.8050856467,468366.0909588408,470302.348498071,472051.88404251885,473102.0220674755,474014.75188773766,2021-05-01,2021-04-18
352073.0462290081,371917.41244941764,396188.82497845107,440331.2508039904,495167.9260113119,556833.6894159911,618874.7877067965,659262.6931219336,696421.6022116552,2021-05-08,2021-04-18
330579.7826617814,353097.6495154974,380969.46378011414,432537.66673097113,498059.8696157493,573507.587435032,651137.8399210315,702535.4999163473,750389.608597005,2021-05-15,2021-04-18
352537.16752663604,352940.38975935464,353405.85159087274,354184.9881428897,355052.6800908638,355922.49773400225,356707.1826123691,357177.6121334778,357586.14197801024,2021-05-01,2021-04-25
321497.0145653923,322231.751900187,323080.9412145643,324504.89619916835,326094.37508925947,327691.6395110071,329135.91580208327,330003.29991624557,330757.4771996075,2021-05-08,2021-04-25
330169.3111430915,331531.8889344672,333109.83431420533,335763.2891669516,338736.266024943,341735.5667595561,344457.73165703204,346097.19833980023,347525.5090282846,2021-05-15,2021-04-25
306895.4357836747,309086.2353803954,311631.5038660399,315931.3943577454,320778.5010488433,325699.97338923876,330193.9805783423,332913.0674761501,335289.59618570015,2021-05-22,2021-04-25
293286.4874833806,293810.87026527856,294416.61375508405,295431.57268840255,296563.3697341109,297699.50268928555,298725.7789100641,299341.6553602732,299876.86450448807,2021-05-08,2021-05-02
258865.78553023125,259786.20070284238,260851.44280456248,262641.1718423921,264644.095534551,266662.2936914424,268491.89158510405,269592.8309964859,270551.38691985025,2021-05-15,2021-05-02
207766.92463121485,216297.9246240441,226569.26363275383,244832.1737277646,266855.10784458776,290859.030079636,314304.1003927768,329229.4584264843,342747.7627112537,2021-05-22,2021-05-02
177714.94492013878,186623.07924012997,197449.17537857825,216958.66308692598,240903.96293084527,267492.0583029868,293922.31820929854,310972.89570017305,326560.71430495393,2021-05-29,2021-05-02
248249.93789693472,248249.9521112711,248249.9684994916,248249.9958834919,248250.02630910793,248250.05673472764,248250.0841187377,248250.10050696693,248250.1147213126,2021-05-15,2021-05-09
212891.21977148176,213599.40678513906,214418.82533078955,215795.05857784126,217334.51554180292,218884.95481351297,220289.85362139074,221134.93832547686,221870.54823816425,2021-05-22,2021-05-09
135308.4527517066,142770.42811335914,151885.75442185084,168434.21119265025,188943.60809085716,211950.3323321836,235043.0241090177,250049.5901717547,263839.296898184,2021-05-29,2021-05-09
104327.49624455404,111183.67221869458,119649.45750483098,135258.21083305794,154999.92267681338,177623.05062182795,200794.69251958866,216083.67083398535,230284.2193538431,2021-06-05,2021-05-09
192159.49868023556,192468.16180831802,192824.64601568165,193421.78951575892,194087.42830107198,194755.35780551043,195358.4803752743,195720.3179507674,196034.7007732815,2021-05-22,2021-05-16
160806.8462041166,161692.82254269786,162720.35645285365,164451.9127341372,166397.41558031473,168365.93415955096,170157.56673216404,171238.89283642403,172182.34525079044,2021-05-29,2021-05-16
137026.51524956635,140703.88782971076,145066.31284996716,152659.64392145892,161563.41623240727,170986.49514809262,179936.58866674633,185515.39596601165,190494.06180362374,2021-06-05,2021-05-16
107036.97454185413,111091.5771720764,115957.25979025137,124567.80718665868,134886.6372280552,146060.24874010627,156906.13020352338,163778.43726631548,169982.4287875261,2021-06-12,2021-05-16
141269.96803641075,141648.44966972637,142086.07340457008,142820.34267581566,143640.62014699922,144465.60881770187,145212.1749994879,145660.80888511267,146051.05418369384,2021-05-29,2021-05-23
116358.67515453699,116955.35180049768,117647.0801449828,118812.06957324898,120119.99175351959,121442.31196957717,122644.88333313682,123370.26221320993,124002.8936364442,2021-06-05,2021-05-23
95613.53868878097,98747.41055969681,102488.25782051598,109057.96013499665,116852.42525122338,125203.96741503903,133229.79214853438,138276.9351591053,142809.16148849667,2021-06-12,2021-05-23
70119.83665755743,73244.06588356712,77019.25403992253,83766.629217972,91958.9029394587,100952.37099518467,109796.43902348669,115455.63081207994,120599.82214629647,2021-06-19,2021-05-23
116459.39617935139,116745.91211302792,117077.121586018,117632.6562650372,118252.98764471072,118876.59031853694,119440.66353413089,119779.51804737862,120074.2022169223,2021-06-05,2021-05-30
98675.41017125806,99184.3957492438,99774.48280851287,100768.3369583778,101884.19559257489,103012.41069239499,104038.51785900102,104657.48400372946,105197.32619839297,2021-06-12,2021-05-30
66885.04713906709,70115.8013314111,74034.80627669234,81078.18156926968,89692.44742217501,99221.9481107449,108661.52731613583,114734.98087193185,120277.0345343863,2021-06-19,2021-05-30
47485.22407608553,50489.13369634857,54189.04192437692,60986.32643915321,69543.06579958911,79300.36588826436,89247.5273424312,95787.70017905341,101847.21868547742,2021-06-26,2021-05-30
74201.55663195944,74506.58325325098,74859.8159503889,75453.79331096903,76119.27412144367,76790.62428175053,77399.92169651309,77766.87159416435,78086.55445753655,2021-06-12,2021-06-06
59179.34444759816,59591.32897421322,60069.88158317481,60878.113271505135,61788.87722522458,62713.26661729648,63557.06467420833,64067.46441929447,64513.478214252646,2021-06-19,2021-06-06
38771.30851610822,41449.40210241168,44767.456428757476,50915.044375104444,58740.4111926407,67768.49454672464,77074.64712835541,83244.52783553538,88994.56941585979,2021-06-26,2021-06-06
31075.400930649255,33508.121275288104,36550.180077480945,42262.04173268736,49661.0356446736,58355.40263058464,67474.86485903831,73600.61881835051,79362.40201068952,2021-07-03,2021-06-06
68359.50802398565,71136.24252719413,74477.91024127915,80415.65453050117,87569.70661924819,95360.20768782777,102962.7911489249,107799.53009817301,112178.30173222619,2021-06-19,2021-06-13
55001.0237531053,58218.04064891013,62161.27273004319,69355.22337757034,78328.71183458593,88463.23029290109,98701.1177250286,105386.3549731205,111550.41631964539,2021-06-26,2021-06-13
48168.537101091264,51867.49207792153,56486.04246232789,65139.32004626051,76316.93459598339,89412.5775643856,103109.97641606732,112291.42325558532,120914.4984807034,2021-07-03,2021-06-13
44363.7020791077,48393.57325700866,53496.14025135413,63250.959947859745,76188.90526744864,91773.29941928702,108507.81492979449,119948.7637547323,130844.56467364808,2021-07-10,2021-06-13
68527.93533711856,68725.17850199295,68953.29194209634,69336.15036737526,69764.0274703253,70194.54502582797,70584.29542373975,70818.57966711815,71022.41596711367,2021-06-26,2021-06-20
60070.26058638931,60403.06323229066,60789.05235338205,61439.53529760639,62170.43553150124,62910.03073923209,63583.209550749154,63989.52052005019,64344.036740408585,2021-07-03,2021-06-20
50171.54028831394,54151.33954260129,59133.15783584603,68501.19326227684,80660.16066556146,94977.34577679298,110023.91478322618,120145.9017181988,129676.3360504121,2021-07-10,2021-06-20
45938.72270844475,50238.82617861427,55698.465384354946,66177.19034448243,80147.29704060889,97066.51475346544,115327.93908393581,127861.05312408743,139829.51297282733,2021-07-17,2021-06-20
81513.60679195076,81754.87080886873,82033.91916283409,82502.32378075717,83025.89261884357,83552.78408247132,84029.8612513297,84316.67467582815,84566.23521456588,2021-07-03,2021-06-27
79424.80120684172,79849.36625563959,80341.68002013693,81171.09758840657,82102.68657476627,83044.9672736356,83902.29257223361,84419.59478066882,84870.85948429976,2021-07-10,2021-06-27
39372.68475197135,42305.0869252947,45958.02773938421,52779.303641462335,61551.92570126808,71782.6741950068,82436.94831768668,89555.17723494273,96225.07536382144,2021-07-17,2021-06-27
35067.87119966019,38169.176079774545,42086.685873215385,49550.34069476659,59405.11236175165,71219.84077669644,83849.97063782178,92455.94841598642,100632.4950442539,2021-07-24,2021-06-27
62985.05715949256,65263.84560982023,67993.65388022957,72812.21575012132,78567.50367108961,84777.70617901288,90785.71720796362,94583.03560613123,98005.03343952844,2021-07-10,2021-07-04
61557.150828099235,65309.70988890414,69920.952744299,78364.08572942202,88945.90937308081,100956.6400292214,113147.4112364603,121136.27219692206,128520.80851332983,2021-07-17,2021-07-04
66376.1874418624,71350.35734956709,77549.62830691464,89133.48275914122,104044.13640096324,121449.11187498787,139590.38303291297,151718.68399181776,163088.34141617137,2021-07-24,2021-07-04
68698.44118807148,74512.86767917757,81829.88213518863,95694.61608069569,113871.04535202347,135499.942427569,158458.18949293904,174018.46652032793,188746.85866691917,2021-07-31,2021-07-04
168886.90021697083,169121.89413298544,169393.2329077753,169847.59991367286,170353.8641186662,170861.63734377752,171319.94308155702,171594.80840098314,171833.57017553237,2021-07-17,2021-07-11
212657.29012038154,213252.24330141005,213940.25232632997,215094.84213492295,216384.9843587551,217682.86487580335,218857.6527642815,219563.74634596438,220178.02178064676,2021-07-24,2021-07-11
82315.7513749818,88423.11996852768,96029.00166016688,110225.92862308459,128474.31073246508,149743.79190419646,171881.9130973907,186666.66053015122,200516.28324440646,2021-07-31,2021-07-11
94419.30835148091,102631.45142570588,112989.84542983283,132683.4570744466,158615.08778663154,189614.79168759263,222663.77989856192,245136.8047910055,266457.6399978069,2021-08-07,2021-07-11
138323.021653956,145546.68336311504,154344.53046359046,170248.04330470727,189846.98082239757,211702.14604389085,233515.7327514239,247631.0369605691,260563.10581145404,2021-07-24,2021-07-18
